raw_brand_value,script,product_count,normalized_value,method,cluster_id,proposed_canonical_slug,proposed_canonical_display,cluster_min_confidence,needs_review,reviewer_decision,notes
فاين,arabic,43,فاين,singleton,,brand_bb43338113,فاين,100.0,False,,
فيتراك,arabic,43,فيتراك,singleton,,brand_d63a335251,فيتراك,100.0,False,,
كلير,arabic,43,كلير,singleton,,brand_06be54783b,كلير,100.0,False,,
كينوود,arabic,43,كينوود,singleton,,brand_dfbea20ebd,كينوود,100.0,False,,
Konoz,latin,42,konoz,singleton,,konoz,Konoz,100.0,False,,
Loacker,latin,42,loacker,singleton,,loacker,Loacker,100.0,False,,
Yopolis,latin,42,yopolis,singleton,,yopolis,Yopolis,100.0,False,,
لواكر,arabic,42,لواكر,singleton,,brand_ea46a120a0,لواكر,100.0,False,,
White Point,latin,41,white point,singleton,,white_point,White Point,100.0,False,,
وايت بوينت,arabic,41,وايت بوينت,singleton,,brand_2ee4214c81,وايت بوينت,100.0,False,,
Comfort,latin,40,comfort,singleton,,comfort,Comfort,100.0,False,,
Diva,latin,40,diva,singleton,,diva,Diva,100.0,False,,
Oral-B,latin,40,oral-b,singleton,,oral_b,Oral-B,100.0,False,,
Pioneer,latin,40,pioneer,singleton,,pioneer,Pioneer,100.0,False,,
President,latin,40,president,singleton,,president,President,100.0,False,,
Roasty,latin,40,roasty,singleton,,roasty,Roasty,100.0,False,,
Trio,latin,40,trio,singleton,,trio,Trio,100.0,False,,
اورال-بى,arabic,40,اورال-بي,singleton,,brand_8de6d7e6b9,اورال-بى,100.0,False,,
بريزيدون,arabic,40,بريزيدون,singleton,,brand_c48d0e59ba,بريزيدون,100.0,False,,
بيونير,arabic,40,بيونير,singleton,,brand_4563807f7b,بيونير,100.0,False,,
Feba,latin,39,feba,singleton,,feba,Feba,100.0,False,,
Hygiene,latin,39,hygiene,singleton,,hygiene,Hygiene,100.0,False,,
Mink,latin,39,mink,singleton,,mink,Mink,100.0,False,,
Saluti,latin,39,saluti,singleton,,saluti,Saluti,100.0,False,,
Three Chefs,latin,39,three chefs,singleton,,three_chefs,Three Chefs,100.0,False,,
Zanussi,latin,39,zanussi,singleton,,zanussi,Zanussi,100.0,False,,
ثرى شيفز,arabic,39,ثري شيفز,singleton,,brand_84c2877a12,ثرى شيفز,100.0,False,,
زانوسي,arabic,39,زانوسي,singleton,,brand_d10248eaf4,زانوسي,100.0,False,,
سالوتى,arabic,39,سالوتي,singleton,,brand_5fed064db8,سالوتى,100.0,False,,
فيبا,arabic,39,فيبا,singleton,,brand_5c13507d76,فيبا,100.0,False,,
مينك,arabic,39,مينك,singleton,,brand_3b092aa8f5,مينك,100.0,False,,
هيجين,arabic,39,هيجين,singleton,,brand_74af2c27e4,هيجين,100.0,False,,
Avuva,latin,38,avuva,singleton,,avuva,Avuva,100.0,False,,
Clorel,latin,38,clorel,singleton,,clorel,Clorel,100.0,False,,
Faraza,latin,38,faraza,singleton,,faraza,Faraza,100.0,False,,
Garnierr,latin,38,garnierr,fuzzy_cluster,c7,garnier,Garnier,93.3,True,approve,
Lotus,latin,38,lotus,singleton,,lotus,Lotus,100.0,False,,
Ponky,latin,38,ponky,singleton,,ponky,Ponky,100.0,False,,
Sila,latin,38,sila,singleton,,sila,Sila,100.0,False,,
Xl,latin,38,xl,singleton,,xl,Xl,100.0,False,,
Zak,latin,38,zak,singleton,,zak,Zak,100.0,False,,
افوفا,arabic,38,افوفا,singleton,,brand_9fc07fe1c3,افوفا,100.0,False,,
كلوريل,arabic,38,كلوريل,singleton,,brand_3ced1b2b02,كلوريل,100.0,False,,
لوتس,arabic,38,لوتس,singleton,,brand_4314a9d00c,لوتس,100.0,False,,
Pedrini,latin,37,pedrini,singleton,,pedrini,Pedrini,100.0,False,,
بيدرينى,arabic,37,بيدريني,singleton,,brand_3ca1843779,بيدرينى,100.0,False,,
General,latin,36,general,singleton,,general,General,100.0,False,,
Kayy,latin,36,kayy,singleton,,kayy,Kayy,100.0,False,,
Limes Gardens,latin,36,limes gardens,singleton,,limes_gardens,Limes Gardens,100.0,False,,
Malizia,latin,36,malizia,singleton,,malizia,Malizia,100.0,False,,
Marvel,latin,36,marvel,singleton,,marvel,Marvel,100.0,False,,
Molped,latin,36,molped,singleton,,molped,Molped,100.0,False,,
Velveta,latin,36,velveta,singleton,,velveta,Velveta,100.0,False,,
كاى,arabic,36,كاي,singleton,,brand_00b3d219c3,كاى,100.0,False,,
مارفل,arabic,36,مارفل,singleton,,brand_79e2ca3461,مارفل,100.0,False,,
ماليزيا,arabic,36,ماليزيا,singleton,,brand_2ac536fcb0,ماليزيا,100.0,False,,
مولبيد,arabic,36,مولبيد,singleton,,brand_8209915e0c,مولبيد,100.0,False,,
ڤلڤيت,arabic,36,ڤلڤيت,singleton,,brand_67f358a4a1,ڤلڤيت,100.0,False,,
Beesline,latin,35,beesline,singleton,,beesline,Beesline,100.0,False,,
Katilo,latin,35,katilo,singleton,,katilo,Katilo,100.0,False,,
Knorr,latin,35,knorr,singleton,,knorr,Knorr,100.0,False,,
Sante,latin,35,sante,singleton,,sante,Sante,100.0,False,,
بيزلين,arabic,35,بيزلين,singleton,,brand_ab798267fc,بيزلين,100.0,False,,
سانتى,arabic,35,سانتي,singleton,,brand_a4b0da081f,سانتى,100.0,False,,
قتيلو,arabic,35,قتيلو,singleton,,brand_132562fdbf,قتيلو,100.0,False,,
كنور,arabic,35,كنور,singleton,,brand_181e5a2eb0,كنور,100.0,False,,
Beuotat,latin,34,beuotat,singleton,,beuotat,Beuotat,100.0,False,,
Classy,latin,34,classy,singleton,,classy,Classy,100.0,False,,
Colour Me,latin,34,colour me,singleton,,colour_me,Colour Me,100.0,False,,
Cotton House,latin,34,cotton house,singleton,,cotton_house,Cotton House,100.0,False,,
Old Spice,latin,34,old spice,singleton,,old_spice,Old Spice,100.0,False,,
Rehana,latin,34,rehana,singleton,,rehana,Rehana,100.0,False,,
Rich Bake,latin,34,rich bake,singleton,,rich_bake,Rich Bake,100.0,False,,
Soly,latin,34,soly,singleton,,soly,Soly,100.0,False,,
Star Diet,latin,34,star diet,singleton,,star_diet,Star Diet,100.0,False,,
أولد سبيس,arabic,34,اولد سبيس,singleton,,brand_5548a7716a,أولد سبيس,100.0,False,,
ريتش باك,arabic,34,ريتش باك,singleton,,brand_f25cf509f6,ريتش باك,100.0,False,,
ريحانه,arabic,34,ريحانه,singleton,,brand_d38c66491f,ريحانه,100.0,False,,
كلاسى,arabic,34,كلاسي,singleton,,brand_4ceb94db4f,كلاسى,100.0,False,,
Abo Elseed,latin,33,abo elseed,singleton,,abo_elseed,Abo Elseed,100.0,False,,
Gliss,latin,33,gliss,singleton,,gliss,Gliss,100.0,False,,
Harpic,latin,33,harpic,singleton,,harpic,Harpic,100.0,False,,
Mitco,latin,33,mitco,singleton,,mitco,Mitco,100.0,False,,
Sensodyne,latin,33,sensodyne,singleton,,sensodyne,Sensodyne,100.0,False,,
Tank,latin,33,tank,singleton,,tank,Tank,100.0,False,,
Waritex,latin,33,waritex,singleton,,waritex,Waritex,100.0,False,,
أبوالسييد,arabic,33,ابوالسييد,singleton,,brand_f3f47d238a,أبوالسييد,100.0,False,,
تانك,arabic,33,تانك,singleton,,brand_1680951f73,تانك,100.0,False,,
جلييس,arabic,33,جلييس,singleton,,brand_423ff314ec,جلييس,100.0,False,,
سنسوداين,arabic,33,سنسوداين,singleton,,brand_f3002001dc,سنسوداين,100.0,False,,
ميتكو,arabic,33,ميتكو,singleton,,brand_8441121b25,ميتكو,100.0,False,,
هاربيك,arabic,33,هاربيك,singleton,,brand_c44c2e578b,هاربيك,100.0,False,,
واريتكس,arabic,33,واريتكس,singleton,,brand_a5a57e0ee1,واريتكس,100.0,False,,
Cook'S,latin,32,cook's,singleton,,cook_s,Cook'S,100.0,False,,
Friskies,latin,32,friskies,singleton,,friskies,Friskies,100.0,False,,
Gourmet,latin,32,gourmet,fuzzy_cluster,c20,gourmet,Gourmet,93.3,True,approve,
Lavida,latin,32,lavida,singleton,,lavida,Lavida,100.0,False,,
Rhodes,latin,32,rhodes,singleton,,rhodes,Rhodes,100.0,False,,
Sunbulah,latin,32,sunbulah,singleton,,sunbulah,Sunbulah,100.0,False,,
جرومت,arabic,32,جرومت,singleton,,brand_e0814df32e,جرومت,100.0,False,,
رودس,arabic,32,رودس,singleton,,brand_c1cbfb483e,رودس,100.0,False,,
سنبلة,arabic,32,سنبلة,singleton,,brand_2d2d863e05,سنبلة,100.0,False,,
سوفى,arabic,32,سوفي,singleton,,brand_417cd3f1bb,سوفى,100.0,False,,
فيريسكيس,arabic,32,فيريسكيس,singleton,,brand_18612c8f2b,فيريسكيس,100.0,False,,
كوكس,arabic,32,كوكس,singleton,,brand_cf7adb5b0b,كوكس,100.0,False,,
لافيدا,arabic,32,لافيدا,singleton,,brand_a5d46f63d0,لافيدا,100.0,False,,
Bom Plast,latin,31,bom plast,singleton,,bom_plast,Bom Plast,100.0,False,,
Sparkle,latin,31,sparkle,singleton,,sparkle,Sparkle,100.0,False,,
بوم بلاست,arabic,31,بوم بلاست,singleton,,brand_61f243d37d,بوم بلاست,100.0,False,,
سباركل,arabic,31,سباركل,singleton,,brand_212b45695e,سباركل,100.0,False,,
Aldoha,latin,30,aldoha,singleton,,aldoha,Aldoha,100.0,False,,
Chipsy,latin,30,chipsy,singleton,,chipsy,Chipsy,100.0,False,,
Degree,latin,30,degree,singleton,,degree,Degree,100.0,False,,
Extra,latin,30,extra,singleton,,extra,Extra,100.0,False,,
Fe,latin,30,fe,singleton,,fe,Fe,100.0,False,,
Freshly Amazing,latin,30,freshly amazing,singleton,,freshly_amazing,Freshly Amazing,100.0,False,,
Motion,latin,30,motion,singleton,,motion,Motion,100.0,False,,
Orist,latin,30,orist,singleton,,orist,Orist,100.0,False,,
Pert Plus,latin,30,pert plus,singleton,,pert_plus,Pert Plus,100.0,False,,
Richfood,latin,30,richfood,singleton,,richfood,Richfood,100.0,False,,
Silver,latin,30,silver,singleton,,silver,Silver,100.0,False,,
Star,latin,30,star,singleton,,star,Star,100.0,False,,
Summer Moon,latin,30,summer moon,singleton,,summer_moon,Summer Moon,100.0,False,,
Vebix,latin,30,vebix,singleton,,vebix,Vebix,100.0,False,,
Zamzam,latin,30,zamzam,singleton,,zamzam,Zamzam,100.0,False,,
